
 | 147 | 1.403 | 7.129 |
 | 148 | 1.406 | 7.112 |
 | 149 | 1.409 | 7.096 |
 | 150 | 1.413 | 7.079 |
 | 151 | 1.416 | 7.063 |
 | 152 | 1.419 | 7.047 |
 | 153 | 1.422 | 7.031 |
 | 154 | 1.426 | 7.015 |
 | 155 | 1.429 | 6.998 |
 | 156 | 1.432 | 6.982 |
 | 157 | 1.435 | 6.966 |
 | 158 | 1.439 | 6.950 |
 | 159 | 1.442 | 6.934 |
 | 160 | 1.445 | 6.918 |
 | 161 | 1.449 | 6.902 |
 | 162 | 1.452 | 6.887 |
 | 163 | 1.455 | 6.871 |
 | 164 | 1.459 | 6.855 |
 | 165 | 1.462 | 6.839 |
 | 166 | 1.466 | 6.823 |
 | 167 | 1.469 | 6.808 |
 | 168 | 1.472 | 6.792 |
 | 169 | 1.476 | 6.776 |
 | 170 | 1.479 | 6.761 |
 | 171 | 1.483 | 6.745 |
 | 172 | 1.486 | 6.730 |
 | 173 | 1.489 | 6.714 |
 | 174 | 1.493 | 6.699 |
 | 175 | 1.496 | 6.683 |
 | 176 | 1.500 | 6.668 |
 | 177 | 1.503 | 6.653 |
 | 178 | 1.507 | 6.637 |
 | 179 | 1.510 | 6.622 |
 | 180 | 1.514 | 6.607 |
 | 181 | 1.517 | 6.592 |
 | 182 | 1.521 | 6.577 |
 | 183 | 1.524 | 6.561 |
 | 184 | 1.528 | 6.546 |
 | 185 | 1.531 | 6.531 |
 | 186 | 1.535 | 6.516 |
 | 187 | 1.538 | 6.501 |
 | 188 | 1.542 | 6.486 |
 | 189 | 1.545 | 6.471 |
 | 190 | 1.549 | 6.457 |
 | 191 | 1.552 | 6.442 |
 | 192 | 1.556 | 6.427 |
 | 193 | 1.560 | 6.412 |
 | 194 | 1.563 | 6.397 |
 | 195 | 1.567 | 6.383 |
 | 196 | 1.570 | 6.368 |
 | 197 | 1.574 | 6.353 |
 | 198 | 1.578 | 6.339 |
 | 199 | 1.581 | 6.324 |
 | 200 | 1.585 | 6.310 |
 | 201 | 1.589 | 6.295 |
 | 202 | 1.592 | 6.281 |
 | 203 | 1.596 | 6.266 |
 | 204 | 1.600 | 6.252 |
 | 205 | 1.603 | 6.237 |
